sequencenum;timestamp_sec;delta;context;event;detail;timestampint;contextinint;contextint;contextoutint;eventint;eventoffset;eventsize;eventdata
0;0,00000000000;0,0000000000;Idle;Start;;0;0x0000000000000000;0x0000000000000000;0x0000000000000000;10;10;3;0A F6 01 
1;0,00000265000;0,0000026500;Idle;Init;Cycle Freq.: 100000000, CPU Freq.: 100000000, ID Base: 0x00000000, ID Shift: 0;265;0x0000000000000000;0x0000000000000000;0x0000000000000000;24;13;14;18 0A 80 C2 D7 2F 80 C2 D7 2F 00 00 89 02 
2;0,00000557000;0,0000029200;Idle;System Time (cycles);2755446563 cycles;557;0x0000000000000000;0x0000000000000000;0x0000000000000000;12;27;8;0C A3 8E F3 A1 0A A4 02 
3;0,00000816000;0,0000025900;Idle;Num Modules;Registered Modules: 0;816;0x0000000000000000;0x0000000000000000;0x0000000000000000;27;35;5;1B 01 00 83 02 
4;0,00001233000;0,0000041700;Idle;System Description;I#15=SysTick;1233;0x0000000000000000;0x0000000000000000;0x0000000000000000;14;40;16;0E 0C 49 23 31 35 3D 53 79 73 54 69 63 6B A1 03 
5;0,00001791000;0,0000055800;Idle;System Description;SystemName=Project14;1791;0x0000000000000000;0x0000000000000000;0x0000000000000000;14;56;24;0E 14 53 79 73 74 65 6D 4E 61 6D 65 3D 50 72 6F 6A 65 63 74 31 34 AE 04 
6;0,00002331000;0,0000054000;Idle;System Description;Device=STM32F411;2331;0x0000000000000000;0x0000000000000000;0x0000000000000000;14;80;20;0E 10 44 65 76 69 63 65 3D 53 54 4D 33 32 46 34 31 31 9C 04 
7;0,00002943000;0,0000061200;Idle;System Description;CoreFrequency=100000000;2943;0x0000000000000000;0x0000000000000000;0x0000000000000000;14;100;27;0E 17 43 6F 72 65 46 72 65 71 75 65 6E 63 79 3D 31 30 30 30 30 30 30 30 30 E4 04 
8;0,00003449000;0,0000050600;Idle;Marker Name;delay_Demo (1);3449;0x0000000000000000;0x0000000000000000;0x0000000000000000;31;127;17;1F 0D 01 01 0A 64 65 6C 61 79 5F 44 65 6D 6F FA 03 
9;0,00003899000;0,0000045000;Idle;Marker Name;task_print (2);3899;0x0000000000000000;0x0000000000000000;0x0000000000000000;31;144;17;1F 0D 01 02 0A 74 61 73 6B 5F 70 72 69 6E 74 C2 03 
