mar 9/13:19:52.697 DEBUG2 : 		STLinkOpen
mar 9/13:19:52.709 DEBUG2 : 		Reset
mar 9/13:19:52.716 DEBUG2 : 		ReadTarget32 Address=0xE0042008 AP=0 Count=4 Data=0x00001800
mar 9/13:19:52.717 DEBUG2 : 		ReadTarget32 Address=0xE0042004 AP=0 Count=4 Data=0x00000027
mar 9/13:19:52.717 DEBUG2 : 		Stop
mar 9/13:19:52.718 DEBUG2 : 		ReadTarget32 Address=0xE000ED00 AP=0 Count=4 Data=0x410FC241
mar 9/13:19:52.719 DEBUG2 : 		ReadTarget32 Address=0xE00FF000 AP=0 Count=4 Data=0xFFF0F003
mar 9/13:19:52.719 DEBUG2 : 		ReadTarget32 Address=0xE00FF004 AP=0 Count=4 Data=0xFFF02003
mar 9/13:19:52.720 DEBUG2 : 		ReadTarget32 Address=0xE00FF008 AP=0 Count=4 Data=0xFFF03003
mar 9/13:19:52.720 DEBUG2 : 		ReadTarget32 Address=0xE00FF00C AP=0 Count=4 Data=0xFFF01003
mar 9/13:19:52.720 DEBUG2 : 		ReadTarget32 Address=0xE00FF010 AP=0 Count=4 Data=0xFFF41003
mar 9/13:19:52.721 DEBUG2 : 		ReadTarget32 Address=0xE00FF014 AP=0 Count=4 Data=0xFFF42003
mar 9/13:19:52.721 DEBUG2 : 		ReadTarget32 Address=0xE00FF018 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.722 DEBUG2 : 		ReadTarget32 Address=0xE00FFFD0 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.722 DEBUG2 : 		ReadTarget32 Address=0xE00FFFD4 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.722 DEBUG2 : 		ReadTarget32 Address=0xE00FFFD8 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.722 DEBUG2 : 		ReadTarget32 Address=0xE00FFFDC AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.723 DEBUG2 : 		ReadTarget32 Address=0xE00FFFE0 AP=0 Count=4 Data=0x00000011
mar 9/13:19:52.723 DEBUG2 : 		ReadTarget32 Address=0xE00FFFE4 AP=0 Count=4 Data=0x00000004
mar 9/13:19:52.724 DEBUG2 : 		ReadTarget32 Address=0xE00FFFE8 AP=0 Count=4 Data=0x0000000A
mar 9/13:19:52.724 DEBUG2 : 		ReadTarget32 Address=0xE00FFFEC AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.724 DEBUG2 : 		ReadTarget32 Address=0xE00FFFF0 AP=0 Count=4 Data=0x0000000D
mar 9/13:19:52.725 DEBUG2 : 		ReadTarget32 Address=0xE00FFFF4 AP=0 Count=4 Data=0x00000010
mar 9/13:19:52.725 DEBUG2 : 		ReadTarget32 Address=0xE00FFFF8 AP=0 Count=4 Data=0x00000005
mar 9/13:19:52.726 DEBUG2 : 		ReadTarget32 Address=0xE00FFFFC AP=0 Count=4 Data=0x000000B1
mar 9/13:19:52.726 DEBUG2 : 		ReadTarget32 Address=0xE000EFD0 AP=0 Count=4 Data=0x00000004
mar 9/13:19:52.726 DEBUG2 : 		ReadTarget32 Address=0xE000EFD4 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.727 DEBUG2 : 		ReadTarget32 Address=0xE000EFD8 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.727 DEBUG2 : 		ReadTarget32 Address=0xE000EFDC AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.728 DEBUG2 : 		ReadTarget32 Address=0xE000EFE0 AP=0 Count=4 Data=0x0000000C
mar 9/13:19:52.728 DEBUG2 : 		ReadTarget32 Address=0xE000EFE4 AP=0 Count=4 Data=0x000000B0
mar 9/13:19:52.729 DEBUG2 : 		ReadTarget32 Address=0xE000EFE8 AP=0 Count=4 Data=0x0000000B
mar 9/13:19:52.729 DEBUG2 : 		ReadTarget32 Address=0xE000EFEC AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.730 DEBUG2 : 		ReadTarget32 Address=0xE000EFF0 AP=0 Count=4 Data=0x0000000D
mar 9/13:19:52.730 DEBUG2 : 		ReadTarget32 Address=0xE000EFF4 AP=0 Count=4 Data=0x000000E0
mar 9/13:19:52.730 DEBUG2 : 		ReadTarget32 Address=0xE000EFF8 AP=0 Count=4 Data=0x00000005
mar 9/13:19:52.731 DEBUG2 : 		ReadTarget32 Address=0xE000EFFC AP=0 Count=4 Data=0x000000B1
mar 9/13:19:52.731 DEBUG2 : 		ReadTarget32 Address=0xE0001FD0 AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.731 DEBUG2 : 		ReadTarget32 Address=0xE0001FD4 AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.732 DEBUG2 : 		ReadTarget32 Address=0xE0001FD8 AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.732 DEBUG2 : 		ReadTarget32 Address=0xE0001FDC AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.732 DEBUG2 : 		ReadTarget32 Address=0xE0001FE0 AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.733 DEBUG2 : 		ReadTarget32 Address=0xE0001FE4 AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.733 DEBUG2 : 		ReadTarget32 Address=0xE0001FE8 AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.733 DEBUG2 : 		ReadTarget32 Address=0xE0001FEC AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.734 DEBUG2 : 		ReadTarget32 Address=0xE0001FF0 AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.734 DEBUG2 : 		ReadTarget32 Address=0xE0001FF4 AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.735 DEBUG2 : 		ReadTarget32 Address=0xE0001FF8 AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.735 DEBUG2 : 		ReadTarget32 Address=0xE0001FFC AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.736 DEBUG2 : 		ReadTarget32 Address=0xE0002FD0 AP=0 Count=4 Data=0x00000004
mar 9/13:19:52.736 DEBUG2 : 		ReadTarget32 Address=0xE0002FD4 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.737 DEBUG2 : 		ReadTarget32 Address=0xE0002FD8 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.737 DEBUG2 : 		ReadTarget32 Address=0xE0002FDC AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.737 DEBUG2 : 		ReadTarget32 Address=0xE0002FE0 AP=0 Count=4 Data=0x00000003
mar 9/13:19:52.738 DEBUG2 : 		ReadTarget32 Address=0xE0002FE4 AP=0 Count=4 Data=0x000000B0
mar 9/13:19:52.738 DEBUG2 : 		ReadTarget32 Address=0xE0002FE8 AP=0 Count=4 Data=0x0000002B
mar 9/13:19:52.738 DEBUG2 : 		ReadTarget32 Address=0xE0002FEC AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.739 DEBUG2 : 		ReadTarget32 Address=0xE0002FF0 AP=0 Count=4 Data=0x0000000D
mar 9/13:19:52.739 DEBUG2 : 		ReadTarget32 Address=0xE0002FF4 AP=0 Count=4 Data=0x000000E0
mar 9/13:19:52.739 DEBUG2 : 		ReadTarget32 Address=0xE0002FF8 AP=0 Count=4 Data=0x00000005
mar 9/13:19:52.740 DEBUG2 : 		ReadTarget32 Address=0xE0002FFC AP=0 Count=4 Data=0x000000B1
mar 9/13:19:52.740 DEBUG2 : 		ReadTarget32 Address=0xE0000FD0 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.740 DEBUG2 : 		ReadTarget32 Address=0xE0000FD4 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.741 DEBUG2 : 		ReadTarget32 Address=0xE0000FD8 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.741 DEBUG2 : 		ReadTarget32 Address=0xE0000FDC AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.742 DEBUG2 : 		ReadTarget32 Address=0xE0000FE0 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.743 DEBUG2 : 		ReadTarget32 Address=0xE0000FE4 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.743 DEBUG2 : 		ReadTarget32 Address=0xE0000FE8 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.743 DEBUG2 : 		ReadTarget32 Address=0xE0000FEC AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.743 DEBUG2 : 		ReadTarget32 Address=0xE0000FF0 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.744 DEBUG2 : 		ReadTarget32 Address=0xE0000FF4 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.744 DEBUG2 : 		ReadTarget32 Address=0xE0000FF8 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.744 DEBUG2 : 		ReadTarget32 Address=0xE0000FFC AP=0 Count=4 Data=0x00000001
